524	2015-09-15
498	2015-09-16
472	2015-09-17
446	2015-09-18
394	2015-09-19
342	2015-09-20
316	2015-09-21
290	2015-09-22
264	2015-09-23
238	2015-09-24
212	2015-09-25
160	2015-09-26
108	2015-09-27
82	2015-09-28
56	2015-09-29
30	2015-09-30
4	2015-10-01
278	2015-10-02
226	2015-10-03
174	2015-10-04
148	2015-10-05
122	2015-10-06
96	2015-10-07
70	2015-10-08
344	2015-10-09
292	2015-10-10
240	2015-10-11
214	2015-10-12
188	2015-10-13
162	2015-10-14
136	2015-10-15
110	2015-10-16
58	2015-10-17
6	2015-10-18
6	2015-10-19
6	2015-10-20
6	2015-10-21
6	2015-10-22
280	2015-10-23
228	2015-10-24
176	2015-10-25
150	2015-10-26
124	2015-10-27
98	2015-10-28
72	2015-10-29
346	2015-10-30
294	2015-10-31
242	2015-11-01
216	2015-11-02
190	2015-11-03
164	2015-11-04
138	2015-11-05
112	2015-11-06
60	2015-11-07
8	2015-11-08
8	2015-11-09
8	2015-11-10
8	2015-11-11
8	2015-11-12
282	2015-11-13
230	2015-11-14
178	2015-11-15
152	2015-11-16
126	2015-11-17
100	2015-11-18
74	2015-11-19
348	2015-11-20
296	2015-11-21
244	2015-11-22
218	2015-11-23
192	2015-11-24
166	2015-11-25
140	2015-11-26
114	2015-11-27
62	2015-11-28
10	2015-11-29
10	2015-11-30
10	2015-12-01
10	2015-12-02
10	2015-12-03
284	2015-12-04
232	2015-12-05
180	2015-12-06
154	2015-12-07
128	2015-12-08
102	2015-12-09
76	2015-12-10
350	2015-12-11
298	2015-12-12
246	2015-12-13
220	2015-12-14
194	2015-12-15
168	2015-12-16
142	2015-12-17
116	2015-12-18
64	2015-12-19
12	2015-12-20
12	2015-12-21
12	2015-12-22
12	2015-12-23
12	2015-12-24
286	2015-12-25
234	2015-12-26
182	2015-12-27
156	2015-12-28
130	2015-12-29
104	2015-12-30
78	2015-12-31
352	2016-01-01
300	2016-01-02
248	2016-01-03
222	2016-01-04
196	2016-01-05
170	2016-01-06
144	2016-01-07
118	2016-01-08
66	2016-01-09
14	2016-01-10
14	2016-01-11
14	2016-01-12
14	2016-01-13
14	2016-01-14
288	2016-01-15
236	2016-01-16
184	2016-01-17
158	2016-01-18
132	2016-01-19
106	2016-01-20
80	2016-01-21
354	2016-01-22
302	2016-01-23
250	2016-01-24
224	2016-01-25
198	2016-01-26
172	2016-01-27
146	2016-01-28
120	2016-01-29
68	2016-01-30
16	2016-01-31
16	2016-02-01
16	2016-02-02
16	2016-02-03
16	2016-02-04
290	2016-02-05
238	2016-02-06
186	2016-02-07
160	2016-02-08
134	2016-02-09
108	2016-02-10
82	2016-02-11
356	2016-02-12
304	2016-02-13
252	2016-02-14
226	2016-02-15
200	2016-02-16
174	2016-02-17
148	2016-02-18
122	2016-02-19
70	2016-02-20
18	2016-02-21
18	2016-02-22
18	2016-02-23
18	2016-02-24
18	2016-02-25
292	2016-02-26
240	2016-02-27
188	2016-02-28
162	2016-02-29
136	2016-03-01
110	2016-03-02
84	2016-03-03
358	2016-03-04
306	2016-03-05
254	2016-03-06
228	2016-03-07
202	2016-03-08
176	2016-03-09
150	2016-03-10
124	2016-03-11
72	2016-03-12
20	2016-03-13
20	2016-03-14
20	2016-03-15
20	2016-03-16
20	2016-03-17
294	2016-03-18
242	2016-03-19
190	2016-03-20
164	2016-03-21
138	2016-03-22
112	2016-03-23
86	2016-03-24
360	2016-03-25
308	2016-03-26
256	2016-03-27
230	2016-03-28
204	2016-03-29
178	2016-03-30
152	2016-03-31
